Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,Financial crisis,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,PSB,Interest,current account,Politics,parliament,protest,Economic crisis,stock market,trade,M0,Investment,World News,Crisis,Cinema,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
34,45,16,50,77,48,50,14,16,28,32,0,0,26,0,56,26,0,0,42,37,0,0,60,0,27,0,0,44,38,35,0,41,31,58,31,20,14,0,33,38,0,0,62,22,0,0,70,53,38,23,0,55,0,0
36,45,16,61,80,45,67,14,0,25,32,0,0,28,0,45,24,0,0,48,0,0,0,52,0,22,0,0,44,18,32,0,37,28,44,32,21,12,0,46,34,0,0,54,18,0,0,0,41,0,33,0,59,0,0
32,40,18,57,75,60,56,16,16,29,39,4,0,0,0,41,19,0,0,36,33,0,0,34,0,24,0,0,0,22,31,0,36,23,37,21,20,11,0,39,32,0,0,52,18,0,0,0,51,45,18,31,54,0,0
32,36,27,60,76,49,65,17,0,30,34,0,0,0,64,37,69,0,0,42,0,0,0,43,0,29,0,0,0,32,39,0,34,36,24,34,18,0,0,31,39,0,0,59,18,0,0,0,55,45,18,34,56,0,0
35,48,29,56,76,51,52,16,0,25,33,0,0,0,0,53,37,0,0,37,0,0,0,47,0,39,0,0,39,30,35,0,41,30,57,31,19,0,0,40,45,0,0,57,16,0,0,0,56,50,26,51,50,19,0
30,38,28,74,80,33,42,14,0,21,33,0,0,16,0,65,20,0,0,39,40,1,0,56,0,37,0,0,0,29,34,0,34,24,36,46,23,0,0,35,40,0,0,49,11,0,0,0,48,37,35,30,45,0,0
34,55,23,80,87,47,46,14,0,20,34,0,0,16,58,61,26,0,0,29,29,0,0,50,0,30,0,0,0,30,33,0,33,34,78,22,17,9,0,34,37,0,0,54,18,0,0,0,56,27,0,29,42,0,0
35,45,37,100,85,0,33,15,0,24,30,8,0,0,0,61,25,0,0,34,34,0,0,58,0,41,0,0,0,38,36,0,36,31,50,39,16,0,0,34,40,0,0,66,17,0,0,0,52,75,0,53,47,0,0
32,52,44,95,100,43,45,20,13,18,38,5,0,0,72,73,27,0,0,31,24,0,0,55,0,50,0,0,23,33,35,0,44,30,96,29,17,9,0,43,36,0,0,65,20,0,0,80,63,47,0,46,48,0,0
36,43,34,95,91,33,42,20,0,18,27,7,0,30,69,57,18,0,0,37,0,0,0,59,0,38,0,0,0,39,32,0,38,29,56,32,16,14,0,44,27,0,0,58,17,0,0,0,54,43,0,35,42,0,24
